mesto,pocet_nakazenych,normalizovany_pocet_nakazenych,pocet_nakazenych_upravene_odlehle_hodnoty,pocet_ockovanych,interval_poctu_ockovanych,populace_0-14,populace_15-59,populace_60+
Brno,59417,1.0,31678,237513,215673.1-237523.0,59790,221211,101404
Břeclav,8812,0.05959637255630714,8812,34666,19024.0-40873.9,17930,67621,30931
Cheb,7156,0.028822567457072772,7156,28629,19024.0-40873.9,14089,52824,24521
Chomutov,10463,0.09027726157734334,10463,49573,40873.9-62723.8,19703,74287,30610
Chrudim,15895,0.19122128893183676,15895,52282,40873.9-62723.8,16512,59706,28490
Děčín,11643,0.1122054560321118,11643,46364,40873.9-62723.8,20711,73079,34659
Frýdek-Místek,20325,0.27354493421541665,20325,65708,62723.8-84573.7,34311,124615,55661
Havlíčkův Brod,8523,0.054225823236452836,8523,35305,19024.0-40873.9,14938,53346,26328
Hodonín,9592,0.07409128075522188,9592,35389,19024.0-40873.9,22176,88668,42763
Hradec Králové,29053,0.43573924031814465,29053,95600,84573.7-106423.6,26050,91999,46386
Jablonec nad Nisou,10773,0.09603805842562997,10773,34126,19024.0-40873.9,14851,51085,24262
Jihlava,16368,0.2000111499293838,16368,64822,62723.8-84573.7,18551,65415,29698
Karlovy Vary,11367,0.10707648851557273,11367,53315,40873.9-62723.8,16668,65425,32281
Karviná,11103,0.10217051958670928,11103,35288,19024.0-40873.9,35473,140743,66563
Kladno,21268,0.29106890656359174,21268,81836,62723.8-84573.7,28172,97381,41292
Klatovy,8149,0.047275700587229616,8149,30893,19024.0-40873.9,12745,48705,24803
Kolín,15988,0.19294952798632276,15988,53723,40873.9-62723.8,17816,59866,26091
Kroměříž,11686,0.11300453430461607,11686,39837,19024.0-40873.9,15985,59553,29288
Liberec,25201,0.3641566936742734,25201,88360,84573.7-106423.6,29576,101498,44391
Litoměřice,8808,0.059522039693748606,8808,36880,19024.0-40873.9,19440,68340,31397
Louny,6590,0.018304467405039767,6590,26800,19024.0-40873.9,13977,50003,22384
Mladá Boleslav,19592,0.2599234371515647,19592,68731,62723.8-84573.7,21681,77735,31626
Most,11538,0.1102542183899502,11538,43202,40873.9-62723.8,17524,65076,28333
Mělník,8236,0.0488924403478778,8236,28187,19024.0-40873.9,18851,64691,26445
Nový Jičín,7713,0.039173418568349064,7713,26372,19024.0-40873.9,24508,87675,39215
Nymburk,7009,0.026090834758046532,7009,26269,19024.0-40873.9,17908,59017,24773
Olomouc,31405,0.4794469635025645,31405,99495,84573.7-106423.6,38916,134757,61768
Opava,18798,0.2451683639336951,18798,62071,40873.9-62723.8,27912,101173,46692
Ostrava,54742,0.9131234668847097,31678,188292,171973.3-193823.2,48273,185145,83904
Pardubice,26390,0.38625213706979855,26390,81743,62723.8-84573.7,28419,102037,45681
Pelhřimov,6614,0.01875046458039099,6614,30190,19024.0-40873.9,10664,41122,20512
Plzeň,33544,0.5191964617557422,31678,121161,106423.6-128273.5,30268,112584,51988
Prostějov,17925,0.22894521668029436,17925,56739,40873.9-62723.8,17131,61899,29474
Písek,9841,0.07871850144949082,9841,33969,19024.0-40873.9,10932,40166,20490
Přerov,13337,0.14368542332565226,13337,45566,40873.9-62723.8,19281,73860,35760
Příbram,10926,0.09888129041849401,10926,46530,40873.9-62723.8,18173,65739,31324
Rokycany,9375,0.07005872296142124,9375,31062,19024.0-40873.9,7742,28459,13288
Strakonice,7800,0.04079015832899725,7800,28056,19024.0-40873.9,11062,39834,19636
Teplice,16432,0.20120047573032038,16432,64008,62723.8-84573.7,20317,75768,32745
Trutnov,10921,0.09878837434029585,10921,38775,19024.0-40873.9,17984,66434,32996
Tábor,12765,0.13305582397978147,12765,52872,40873.9-62723.8,15907,57558,28986
Třebíč,10641,0.09358507396119825,10641,47052,40873.9-62723.8,16550,63376,30411
Uherské Hradiště,14365,0.1627889690031963,14365,55923,40873.9-62723.8,21263,81322,39045
Vsetín,11125,0.10257935033078124,11125,35953,19024.0-40873.9,22182,82149,38372
Zlín,17620,0.2232773359102059,17620,62727,62723.8-84573.7,29213,109043,52704
Znojmo,14838,0.17157883000074334,14838,54037,40873.9-62723.8,18220,66062,30270
Ústí nad Labem,19718,0.26226492232215864,19718,76230,62723.8-84573.7,19484,68764,30403
Česká Lípa,12963,0.13673530067642906,12963,45240,40873.9-62723.8,16740,60027,26231
České Budějovice,28613,0.4275626254367056,28613,101937,84573.7-106423.6,32988,113304,50310
Šumperk,11492,0.10939939047052702,11492,38324,19024.0-40873.9,18604,67717,33646
