mesto,pocet_nakazenych,pocet_ockovanych,populace_0-14,populace_15-59,populace_60+
Brno,59417,237513,59790,221211,101404
Břeclav,8812,34666,17930,67621,30931
Cheb,7156,28629,14089,52824,24521
Chomutov,10463,49573,19703,74287,30610
Chrudim,15895,52282,16512,59706,28490
Děčín,11643,46364,20711,73079,34659
Frýdek-Místek,20325,65708,34311,124615,55661
Havlíčkův Brod,8523,35305,14938,53346,26328
Hodonín,9592,35389,22176,88668,42763
Hradec Králové,29053,95600,26050,91999,46386
Jablonec nad Nisou,10773,34126,14851,51085,24262
Jihlava,16368,64822,18551,65415,29698
Karlovy Vary,11367,53315,16668,65425,32281
Karviná,11103,35288,35473,140743,66563
Kladno,21268,81836,28172,97381,41292
Klatovy,8149,30893,12745,48705,24803
Kolín,15988,53723,17816,59866,26091
Kroměříž,11686,39837,15985,59553,29288
Liberec,25201,88360,29576,101498,44391
Litoměřice,8808,36880,19440,68340,31397
Louny,6590,26800,13977,50003,22384
Mladá Boleslav,19592,68731,21681,77735,31626
Most,11538,43202,17524,65076,28333
Mělník,8236,28187,18851,64691,26445
Nový Jičín,7713,26372,24508,87675,39215
Nymburk,7009,26269,17908,59017,24773
Olomouc,31405,99495,38916,134757,61768
Opava,18798,62071,27912,101173,46692
Ostrava,54742,188292,48273,185145,83904
Pardubice,26390,81743,28419,102037,45681
Pelhřimov,6614,30190,10664,41122,20512
Plzeň,33544,121161,30268,112584,51988
Prostějov,17925,56739,17131,61899,29474
Písek,9841,33969,10932,40166,20490
Přerov,13337,45566,19281,73860,35760
Příbram,10926,46530,18173,65739,31324
Rokycany,9375,31062,7742,28459,13288
Strakonice,7800,28056,11062,39834,19636
Svitavy,5605,19024,16422,59682,27896
Teplice,16432,64008,20317,75768,32745
Trutnov,10921,38775,17984,66434,32996
Tábor,12765,52872,15907,57558,28986
Třebíč,10641,47052,16550,63376,30411
Uherské Hradiště,14365,55923,21263,81322,39045
Vsetín,11125,35953,22182,82149,38372
Zlín,17620,62727,29213,109043,52704
Znojmo,14838,54037,18220,66062,30270
Ústí nad Labem,19718,76230,19484,68764,30403
Česká Lípa,12963,45240,16740,60027,26231
České Budějovice,28613,101937,32988,113304,50310
Šumperk,11492,38324,18604,67717,33646
